"﻿X","Y","OBJECTID","FOD_ID","FPA_ID","SOURCE_SYSTEM_TYPE","SOURCE_SYSTEM","NWCG_REPORTING_AGENCY","NWCG_REPORTING_UNIT_ID","NWCG_REPORTING_UNIT_NAME","SOURCE_REPORTING_UNIT","SOURCE_REPORTING_UNIT_NAME","LOCAL_FIRE_REPORT_ID","LOCAL_INCIDENT_ID","FIRE_CODE","FIRE_NAME","ICS_209_PLUS_INCIDENT_JOIN_ID","ICS_209_PLUS_COMPLEX_JOIN_ID","MTBS_ID","MTBS_FIRE_NAME","COMPLEX_NAME","FIRE_YEAR","DISCOVERY_DATE","DISCOVERY_DOY","DISCOVERY_TIME","NWCG_CAUSE_CLASSIFICATION","NWCG_GENERAL_CAUSE","NWCG_CAUSE_AGE_CATEGORY","CONT_DATE","CONT_DOY","CONT_TIME","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","OWNER_DESCR","STATE","COUNTY","FIPS_CODE","FIPS_NAME"
"-83.091496211","33.00679368","1250001","1654230","SFO-2002GAGAS-FY2002-Baldwin-037","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2002-Baldwin-037","","FY2002-BALDWIN-037","","","","","","2002","2002/02/05 00:00:00+00","36","1700","Human","Debris and open burning","","2002/02/05 00:00:00+00","36","1700","1.22","B","33.0068","-83.0915","PRIVATE","GA","Baldwin","13009","Baldwin County"
"-83.355696137","32.938293704","1250002","1654231","SFO-2002GAGAS-FY2002-Baldwin-038","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2002-Baldwin-038","","FY2002-BALDWIN-038","","","","","","2002","2002/02/16 00:00:00+00","47","1116","Human","Debris and open burning","","2002/02/16 00:00:00+00","47","1116","2.61","B","32.9383","-83.3557","PRIVATE","GA","Baldwin","13009","Baldwin County"
"-83.254396164","32.989693689","1250003","1654232","SFO-2002GAGAS-FY2002-Baldwin-039","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2002-Baldwin-039","","FY2002-BALDWIN-039","","","","","","2002","2002/02/16 00:00:00+00","47","1250","Human","Debris and open burning","","2002/02/16 00:00:00+00","47","1250","0.2","A","32.9897","-83.2544","PRIVATE","GA","Baldwin","13009","Baldwin County"
"-83.193096183","32.972593691","1250004","1654233","SFO-2002GAGAS-FY2002-Baldwin-040","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2002-Baldwin-040","","FY2002-BALDWIN-040","","","","","","2002","2002/02/19 00:00:00+00","50","1335","Human","Debris and open burning","","2002/02/19 00:00:00+00","50","1335","4.06","B","32.9726","-83.1931","STATE","GA","Baldwin","13009","Baldwin County"
"-83.233896171","32.972593692","1250005","1654234","SFO-2002GAGAS-FY2002-Baldwin-041","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2002-Baldwin-041","","FY2002-BALDWIN-041","","","","","","2002","2002/03/01 00:00:00+00","60","1505","Human","Debris and open burning","","2002/03/01 00:00:00+00","60","1505","3.64","B","32.9726","-83.2339","PRIVATE","GA","Baldwin","13009","Baldwin County"
"-83.174196182","33.10969366","1250006","1654235","SFO-2002GAGAS-FY2002-Baldwin-042","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2002-Baldwin-042","","FY2002-BALDWIN-042","","","","","","2002","2002/03/01 00:00:00+00","60","1624","Human","Debris and open burning","","2002/03/01 00:00:00+00","60","1624","0.31","B","33.1097","-83.1742","PRIVATE","GA","Baldwin","13009","Baldwin County"
"-83.215196169","33.126793658","1250007","1654236","SFO-2002GAGAS-FY2002-Baldwin-043","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2002-Baldwin-043","","FY2002-BALDWIN-043","","","","","","2002","2002/03/07 00:00:00+00","66","1530","Human","Debris and open burning","","2002/03/07 00:00:00+00","66","1530","2.69","B","33.1268","-83.2152","PRIVATE","GA","Baldwin","13009","Baldwin County"
"-83.214796171","33.092493666","1250008","1654237","SFO-2002GAGAS-FY2002-Baldwin-044","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2002-Baldwin-044","","FY2002-BALDWIN-044","","","","","","2002","2002/03/09 00:00:00+00","68","1917","Human","Debris and open burning","","2002/03/09 00:00:00+00","68","1917","5.52","B","33.0925","-83.2148","PRIVATE","GA","Baldwin","13009","Baldwin County"
"-83.132796196","33.05819367","1250009","1654238","SFO-2002GAGAS-FY2002-Baldwin-045","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2002-Baldwin-045","","FY2002-BALDWIN-045","","","","","","2002","2002/03/11 00:00:00+00","70","1830","Human","Debris and open burning","","2002/03/11 00:00:00+00","70","1830","0.34","B","33.0582","-83.1328","STATE","GA","Baldwin","13009","Baldwin County"
"-83.398696117","33.109693668","1250010","1654239","SFO-2002GAGAS-FY2002-Baldwin-046","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2002-Baldwin-046","","FY2002-BALDWIN-046","","","","","","2002","2002/03/19 00:00:00+00","78","1530","Human","Debris and open burning","","2002/03/19 00:00:00+00","78","1530","2.18","B","33.1097","-83.3987","PRIVATE","GA","Baldwin","13009","Baldwin County"
