"﻿X","Y","OBJECTID","FOD_ID","FPA_ID","SOURCE_SYSTEM_TYPE","SOURCE_SYSTEM","NWCG_REPORTING_AGENCY","NWCG_REPORTING_UNIT_ID","NWCG_REPORTING_UNIT_NAME","SOURCE_REPORTING_UNIT","SOURCE_REPORTING_UNIT_NAME","LOCAL_FIRE_REPORT_ID","LOCAL_INCIDENT_ID","FIRE_CODE","FIRE_NAME","ICS_209_PLUS_INCIDENT_JOIN_ID","ICS_209_PLUS_COMPLEX_JOIN_ID","MTBS_ID","MTBS_FIRE_NAME","COMPLEX_NAME","FIRE_YEAR","DISCOVERY_DATE","DISCOVERY_DOY","DISCOVERY_TIME","NWCG_CAUSE_CLASSIFICATION","NWCG_GENERAL_CAUSE","NWCG_CAUSE_AGE_CATEGORY","CONT_DATE","CONT_DOY","CONT_TIME","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","OWNER_DESCR","STATE","COUNTY","FIPS_CODE","FIPS_NAME"
"-77.866697706","34.149993251","1035001","1165178","TFS_NC_214201","NONFED","ST-NCNCS","ST/C&L","USNCNCS","North Carolina Forest Service","NCNCS108","NCS Region 1 District 8","","00-065","","SHADOW BRANCH","","","","","","2000","2000/11/03 00:00:00+00","308","","Human","Misuse of fire by a minor","Minor","","","","0.1","A","34.15","-77.8667","MISSING/NOT SPECIFIED","NC","","",""
"-77.89999769","34.283293223","1035002","1165179","TFS_NC_214202","NONFED","ST-NCNCS","ST/C&L","USNCNCS","North Carolina Forest Service","NCNCS108","NCS Region 1 District 8","","00-065","","2204 TRUESDALE","","","","","","2000","2000/11/13 00:00:00+00","318","","Human","Missing data/not specified/undetermined","","","","","0.1","A","34.2833","-77.9","MISSING/NOT SPECIFIED","NC","","",""
"-77.883297702","34.133293255","1035003","1165180","TFS_NC_214203","NONFED","ST-NCNCS","ST/C&L","USNCNCS","North Carolina Forest Service","NCNCS108","NCS Region 1 District 8","","00-065","","PINER RD.","","","","","","2000","2000/11/14 00:00:00+00","319","","Human","Debris and open burning","","","","","0.1","A","34.1333","-77.8833","MISSING/NOT SPECIFIED","NC","","",""
"-77.849997704","34.299993217","1035004","1165181","TFS_NC_214204","NONFED","ST-NCNCS","ST/C&L","USNCNCS","North Carolina Forest Service","NCNCS108","NCS Region 1 District 8","","00-065","","TURKEY DAY","","","","","","2000","2000/11/23 00:00:00+00","328","","Human","Misuse of fire by a minor","Minor","","","","0.5","B","34.3","-77.85","MISSING/NOT SPECIFIED","NC","","",""
"-77.883297703","34.116693259","1035005","1165182","TFS_NC_214205","NONFED","ST-NCNCS","ST/C&L","USNCNCS","North Carolina Forest Service","NCNCS108","NCS Region 1 District 8","","00-065","","BLUEBERY VINE","","","","","","2000","2000/12/02 00:00:00+00","337","","Human","Misuse of fire by a minor","Minor","","","","1","B","34.1167","-77.8833","MISSING/NOT SPECIFIED","NC","","",""
"-78.149997605","34.46669319","1035006","1165183","TFS_NC_214207","NONFED","ST-NCNCS","ST/C&L","USNCNCS","North Carolina Forest Service","NCNCS108","NCS Region 1 District 8","","00-071","","OAK FIRE","","","","","","2000","2000/01/01 00:00:00+00","1","","Human","Debris and open burning","","","","","0.1","A","34.4667","-78.15","MISSING/NOT SPECIFIED","NC","","",""
"-77.766697718","34.533293163","1035007","1165184","TFS_NC_214208","NONFED","ST-NCNCS","ST/C&L","USNCNCS","North Carolina Forest Service","NCNCS108","NCS Region 1 District 8","","00-071","","BOSTIC FIRE","","","","","","2000","2000/01/02 00:00:00+00","2","","Human","Arson/incendiarism","","","","","160","D","34.5333","-77.7667","MISSING/NOT SPECIFIED","NC","","",""
"-78.183297593","34.51669318","1035008","1165185","TFS_NC_214209","NONFED","ST-NCNCS","ST/C&L","USNCNCS","North Carolina Forest Service","NCNCS108","NCS Region 1 District 8","","00-071","","MELLOW LOOP FIRE","","","","","","2000","2000/01/03 00:00:00+00","3","","Human","Debris and open burning","","","","","3","B","34.5167","-78.1833","MISSING/NOT SPECIFIED","NC","","",""
"-77.933297665","34.599993154","1035009","1165186","TFS_NC_214210","NONFED","ST-NCNCS","ST/C&L","USNCNCS","North Carolina Forest Service","NCNCS108","NCS Region 1 District 8","","00-071","","HOLLY FIRE","","","","","","2000","2000/01/08 00:00:00+00","8","","Human","Debris and open burning","","","","","0.1","A","34.6","-77.9333","MISSING/NOT SPECIFIED","NC","","",""
"-77.599997773","34.449993176","1035010","1165187","TFS_NC_214211","NONFED","ST-NCNCS","ST/C&L","USNCNCS","North Carolina Forest Service","NCNCS108","NCS Region 1 District 8","","00-071","","SCHIA FIRE","","","","","","2000","2000/01/11 00:00:00+00","11","","Human","Arson/incendiarism","","","","","10","C","34.45","-77.6","MISSING/NOT SPECIFIED","NC","","",""
